"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","Empirical_SD","Mean_SE","Coverage","Success"
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Albumin",-1.159,-1.1969,-0.0379,0.0327,0.2721,0.2632,0.931,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Intercept",-1.234,-1.1009,0.1331,-0.1078,1.4748,1.3364,0.921,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Age",0.0387,0.0409,0.0022,0.0573,0.0117,0.0117,0.947,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","LogBili",0.8371,0.8847,0.0476,0.0568,0.1302,0.1238,0.916,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Albumin",-1.159,-1.2233,-0.0643,0.0555,0.3538,0.3054,0.9,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Intercept",-1.234,-2.174,-0.94,0.7618,2.5207,1.7044,0.856,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Age",0.0387,0.0512,0.0125,0.3221,0.0289,0.0155,0.8107,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","LogBili",0.8371,0.9806,0.1435,0.1715,0.3789,0.1552,0.7805,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Albumin",-1.159,-1.2525,-0.0935,0.0807,0.5174,0.3718,0.9003,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Intercept",-1.234,-2.0001,-0.7661,0.6208,1.5691,1.3465,0.874,1000
