"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","user","system","elapsed","Mean_observed_random_censor_rate","Mean_potential_censor_rate_at_tau","Mean_total_censor_rate"
"Model 1",1,"none","(a) no censoring","ind",1000,26.3130000000001,0.966999999999985,30.5280000000494,0,0,0.62126
"Model 1",1,"independent","(b) independent censoring","ind",1000,28.0220000000008,0.854000000000042,30.045999999973,0.391026666666667,0.498853333333333,0.70151
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,27.9459999999999,1.06500000000005,31.2660000000615,0.41958,0.499346666666667,0.691096666666667
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,32.9470000000001,1.94799999999998,41.9860000000335,0.40958,0.501683333333333,0.69564
"Model 2",2,"none","(a) no censoring","ind",1000,119.148999999999,3.548,132.230000000098,0,0,0.597133333333333
"Model 2",2,"independent","(b) independent censoring","ind",1000,119.861000000001,2.47699999999998,125.488000000012,0.411493333333333,0.498826666666667,0.710343333333333
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,118.187000000002,3.04200000000003,126.834000000032,0.43767,0.500916666666667,0.69234
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,123.370999999999,3.23700000000008,134.310000000056,0.429423333333333,0.502986666666667,0.700643333333333
