"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","SD","Success"
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW only corrected","LogBili",0.8371,0.9738,0.1367,0.1633,0.2138,996
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW only corrected","Albumin",-1.159,-1.2525,-0.0935,0.0807,0.442,996
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","Intercept",-1.234,-1.7648,-0.5308,0.4301,1.4728,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","Age",0.0387,0.0478,0.0091,0.2359,0.0151,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","LogBili",0.8371,0.9809,0.1438,0.1718,0.1614,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","Albumin",-1.159,-1.2333,-0.0743,0.0641,0.307,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO only","Intercept",-1.234,-1.2266,0.0074,-0.006,0.7559,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO only","Age",0.0387,0.0387,0,-3e-04,0.0074,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO only","LogBili",0.8371,0.8406,0.0035,0.0042,0.0715,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO only","Albumin",-1.159,-1.1635,-0.0045,0.0039,0.1685,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW only corrected","Intercept",-1.234,-1.2266,0.0074,-0.006,0.7559,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW only corrected","Age",0.0387,0.0387,0,-3e-04,0.0074,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW only corrected","LogBili",0.8371,0.8406,0.0035,0.0042,0.0715,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW only corrected","Albumin",-1.159,-1.1635,-0.0045,0.0039,0.1685,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","Intercept",-1.234,-1.2259,0.0081,-0.0066,0.7559,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","Age",0.0387,0.0387,0,-5e-04,0.0074,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","LogBili",0.8371,0.8406,0.0035,0.0042,0.0715,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","Albumin",-1.159,-1.1635,-0.0045,0.0039,0.1685,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO only","Intercept",-1.234,-1.1349,0.0991,-0.0803,1.2277,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO only","Age",0.0387,0.0394,7e-04,0.0171,0.0114,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO only","LogBili",0.8371,0.8522,0.0151,0.018,0.1178,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"PO only","Albumin",-1.159,-1.206,-0.047,0.0405,0.2939,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW only corrected","Intercept",-1.234,-1.2181,0.0159,-0.0128,0.9882,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW only corrected","Age",0.0387,0.0387,0,3e-04,0.0095,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW only corrected","LogBili",0.8371,0.8429,0.0058,0.0069,0.0886,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"IPCW only corrected","Albumin",-1.159,-1.1678,-0.0088,0.0076,0.2162,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked GMM corrected","Intercept",-1.234,-1.1766,0.0574,-0.0465,0.9785,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked GMM corrected","Age",0.0387,0.0387,0,-5e-04,0.0094,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked GMM corrected","LogBili",0.8371,0.8395,0.0024,0.0029,0.0885,1000
"Model 2",2,"independent","(b) independent censoring","ind",1000,"Stacked GMM corrected","Albumin",-1.159,-1.1782,-0.0192,0.0166,0.2186,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO only","Intercept",-1.234,-1.0068,0.2272,-0.1841,1.1358,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO only","Age",0.0387,0.0401,0.0014,0.0363,0.0106,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO only","LogBili",0.8371,0.8685,0.0314,0.0375,0.1079,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"PO only","Albumin",-1.159,-1.2076,-0.0486,0.0419,0.2677,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW only corrected","Intercept",-1.234,-1.2936,-0.0596,0.0483,0.996,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW only corrected","Age",0.0387,0.0389,2e-04,0.0054,0.0096,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW only corrected","LogBili",0.8371,0.8467,0.0096,0.0114,0.0978,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"IPCW only corrected","Albumin",-1.159,-1.1502,0.0088,-0.0076,0.22,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked GMM corrected","Intercept",-1.234,-1.1697,0.0643,-0.0521,0.9465,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked GMM corrected","Age",0.0387,0.0384,-3e-04,-0.0075,0.0091,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked GMM corrected","LogBili",0.8371,0.8298,-0.0073,-0.0087,0.0881,1000
"Model 2",2,"group_specific","(c) group-specific censoring","gs",1000,"Stacked GMM corrected","Albumin",-1.159,-1.1489,0.0101,-0.0087,0.2084,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO only","Intercept",-1.234,-1.0753,0.1587,-0.1286,1.1581,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO only","Age",0.0387,0.0395,8e-04,0.0194,0.0103,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO only","LogBili",0.8371,0.8787,0.0416,0.0497,0.109,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO only","Albumin",-1.159,-1.2029,-0.0439,0.0378,0.2761,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW only corrected","Intercept",-1.234,-1.8665,-0.6325,0.5125,2.0537,997
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW only corrected","Age",0.0387,0.0467,0.008,0.206,0.0253,997
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW only corrected","LogBili",0.8371,0.9449,0.1078,0.1288,0.4181,997
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW only corrected","Albumin",-1.159,-1.2159,-0.0569,0.0491,0.394,997
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","Intercept",-1.234,-1.6616,-0.4276,0.3465,1.2161,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","Age",0.0387,0.0462,0.0075,0.1927,0.0122,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","LogBili",0.8371,0.9501,0.113,0.135,0.136,1000
"Model 2",2,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked GMM corrected","Albumin",-1.159,-1.2043,-0.0453,0.0391,0.259,1000
